Writing	Readings	Meanings
寿司	すし	[n.] sushi; anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies)
下らない	くだらない	[adj.; us. kana] good-for-nothing; stupid; trivial; worthless
詰まらない	つまらない	[adj.; us. kana] dull; uninteresting; boring; tedious // [us. kana] insignificant; unimportant; trifling; trivial; worthless // [us. kana] absurd; foolish; silly; stupid // [us. kana] useless; pointless; disappointing
事務所	じむしょ	[n.] office
息子	むすこ,そく	[n.] son // [vulg.] penis
娘	むすめ	[n.] unmarried woman // [sufn.] Miss // [n.] -ess; -ette // [n.] (my) daughter // [n.] girl (i.e. a young, unmarried woman)
勿論	もちろん	[adv.; us. kana] of course; certainly; naturally
妻	つま	[n.] wife // [arch.] my dear; dear; honey // [us. kana] garnish (esp. one served with sashimi) // [us. kana] embellishment // [prefn.; sufn.; n.] female; woman // [n.; arch.] wife // [n.] one's wife // [n.] edge; tip; end // [n.] gable wall // [n.] gable
大抵	たいてい	[adjn..; adv.; n.; us. kana] mostly; ordinarily; usually; generally // [n.] probably // [no-n.; n.] most; almost all // [n.] ordinary // [adjn..] proper; appropriate; moderate
試合	しあい	[n.; suru] match; game; bout; contest
負ける	まける	[v1.; vi.] to lose; to be defeated // [n.] to succumb; to give in; to surrender; to yield // [n.] to be inferior to // [n.] to break out in a rash due to (e.g. lacquer, shaving, etc.) // [v1.; vt.] to reduce the price; to lower the price; to give a discount on
素敵	すてき	[adjn..] lovely; dreamy; beautiful; great; fantastic; superb; cool; capital
美術館	びじゅつかん	[n.] art gallery; art museum
展覧会	てんらんかい	[n.] exhibition
作品	さくひん	[n.] work (e.g. book, film, composition, etc.); opus; performance; production
下さい	ください	[phrase; us. kana; sonkeigo] please give me // [us. kana; sonkeigo] please do for me
偶に	たまに	[adv.; suffix; us. kana] occasionally; once in a while
終電	しゅうでん	[n.] last train
終電車	しゅうでんしゃ	[n.] last train
申す	もうす	[v5su.; vt.; kenjougo] to say; to be called // [kenjougo] to do
息子さん	むすこさん	[n.; sonkeigo] son
娘さん	むすめさん	[n.; sonkeigo] daughter
家内	かない,やうち	[n.; kenjougo] (my) wife // [n.] inside the home; one's family
奥さん	おくさん	[n.; sonkeigo] wife; your wife; his wife; married lady; madam
得意	とくい	[n.; no-n.; adjn..] triumph; prosperity // [n.] pride // [n.] one's strong point; one's forte; one's specialty // [n.] frequent customer (client, etc.)
苦手	にがて	[adjn..; n.] poor (at); weak (in); not very good (at) // [n.] dislike (of); difficult to deal with
試験	しけん	[n.; suru] examination; test; study; trial; experiment
心配	しんぱい	[adjn..; n.; suru] worry; concern; anxiety // [n.; suru] care; help; aid; assistance
浴衣	ゆかた,よくい	[n.] yukata (light cotton kimono worn in the summer or used as a bathrobe)
電池	でんち	[n.] battery
扇子	せんす	[n.] folding fan
人形	にんぎょう	[n.] doll; puppet; figure
時計	とけい,ときはかり	[n.] watch; clock; timepiece
足	そく	[n.] foot // [n.] leg // [n.] gait // [n.] pace // [n.] bottom structural component (i.e. radical) of a kanji // [n.] means of transportation // [arch.] money; coin // [suffix; cnt.] counter for pairs (of socks, shoes, etc.)
林檎	りんご,へいか,ひょうか,りゅうごう,りんきん,りんき,リンゴ	[n.; us. kana] apple (fruit) // [us. kana] apple tree (Malus pumila)
携帯	けいたい,ケイタイ,ケータイ	[n.; suru; no-n.] something carried (in the hand); handheld; portable // [n.; abbr.; coll.; us. kana] mobile telephone; cell phone
朝寝坊	あさねぼう	[n.; suru] oversleeping; late riser
誕生日	たんじょうび	[n.] birthday
用事	ようじ	[n.] tasks; things to do; errand; business (to take care of); affairs; engagement
ご存じ	ごぞんじ	[n.; sonkeigo] knowing // [n.] (an) acquaintance
信号	しんごう	[n.; suru] signal; signalling; signaling // [n.] traffic light; traffic signal
バス停	バスてい	[n.] bus stop
劇場	げきじょう	[n.; no-n.] theatre; theater; playhouse
博物館	はくぶつかん	[n.] museum
名刺	めいし	[n.] business card
道	ち,ぢ	[n.] road; street; way; path; course; route; lane // [n.] distance; ways (e.g. "a long ways") // [n.] the way (of proper conduct, etc.); one's way; morals // [n.] teachings (esp. Confucian or Buddhist); dogma // [n.] field (of medicine, etc.); subject // [n.] way; method; means // [n.; abbr.] road // [n.] way // [n.] Buddhist teachings // [n.] Taoism // [n.] modern administrative region of Japan (Hokkaido) // [n.] historical administrative region of Japan (Tokaido, Tosando, etc.) // [n.] province (Tang-era administrative region of China) // [n.] province (modern administrative region of Korea) // [n.; arch.] way; road // [sufn.] way to ...; road to ...
歩道橋	ほどうきょう	[n.] pedestrian bridge
横断歩道	おうだんほどう	[n.] pedestrian crossing
折り紙	おりがみ	[n.] origami; art of paper folding // [n.] hallmark; certificate of authenticity
反対	はんたい	[adjn..; n.; suru; no-n.] opposition; resistance; antagonism; hostility; objection; dissension // [n.; suru] reverse; opposite; vice versa; contrast
離婚	りこん	[n.; suru] divorce
美しい	うつくしい	[adj.] beautiful; lovely
真面目	まじめ	[n.] one's true character; one's true self; oneself // [n.] seriousness; earnestness // [adjn..; n.] diligent; serious; honest; sober; grave; earnest; steady
普通	ふつう	[no-n.] general; ordinary; usual // [adv.] normally; generally; usually // [abbr.] train that stops at every station
肩	かた	[n.] shoulder
四角い	しかくい	[adj.] square; rectangular
髪	かみ	[n.] hair (on the head)
金髪	きんぱつ,キンパツ	[n.; no-n.] blond hair
喉	こん,こう	[n.; us. kana] throat // [n.] singing voice // [n.; arch.; fem.] fish // [suffix; cnt.] counter for fish
素晴らしい	すばらしい,すんばらしい	[adj.] wonderful; splendid; magnificent
不愉快	ふゆかい	[adjn..; n.] discomfort; unpleasantness; disagreeableness; unhappiness
出張	しゅっちょう	[n.; suru] official tour; business trip
最初	さいしょ	[no-n.; advn.; tempn.] beginning; outset; first; onset
数字	すうじ	[n.] numeral; figure; digit; numeric character
新幹線	しんかんせん	[n.] Shinkansen; bullet train
中止	ちゅうし	[n.; suru] suspension; stoppage; discontinuance; interruption
大阪	おおさか,おおざか	[n.] Osaka // [arch.] large hill
霧	きり	[n.] fog; mist // [n.] spray
片道	かたみち	[n.; no-n.] one-way (trip) // [n.; abbr.] one-way ticket
片道切符	かたみちきっぷ	[n.] one-way ticket
往復	おうふく	[n.; suru; no-n.] making a round trip; going and returning; coming and going // [abbr.] round-trip ticket; return ticket // [n.] correspondence; exchanging (letters) // [n.] socializing; visiting one another
往復切符	おうふくきっぷ	[n.] round-trip ticket; return ticket
同僚	どうりょう	[n.] coworker; co-worker; colleague; associate
霊	み	[n.] soul; spirit; departed soul; ghost // [n.] soul; spirit // [n.; arch.] soul; spirit; divine spirit
気温	きおん	[n.] atmospheric temperature
余裕	よゆう	[n.] surplus; margin; leeway; room; time; allowance; flexibility; scope; rope // [n.] composure; placidity; complacency; calm
作家	さっか	[n.] author; writer; novelist; artist
警察官	けいさつかん,ケイサツカン	[n.] policeman; policewoman; police officer
消防士	しょうぼうし	[n.] fireman; firefighter
将来	しょうらい	[advn.; tempn.] future (usually near); prospects
世界	せかい	[n.] the world; society; the universe // [n.] sphere; circle; world // [no-n.] renowned; world-famous; well-known outside of Japan // [n.] realm governed by one Buddha; space
予報	よほう	[n.; suru] forecast; prediction
天気予報	てんきよほう	[n.] weather forecast; weather report
秒	びょう	[n.] second (60th min)
和食	わしょく	[n.] Japanese food; Japanese-style meal; Japanese cuisine
例えば	たとえば	[adv.] for example; for instance; e.g.
殆ど	ほとんど	[advn.; tempn.; us. kana] mostly; nearly; practically; well-nigh; almost invariably; all but; just about; almost
週末	しゅうまつ	[advn.; n.] weekend
今週末	こんしゅうまつ	[n.] this weekend
平日	へいじつ,ひらび	[advn.; n.] weekday; ordinary days (i.e. non-holiday) // [n.] kanji radical 73
失礼	しつれい,しつらい,しちらい	[n.; suru; adjn..] discourtesy; impoliteness // [phrase] Excuse me; Goodbye // [suru] to leave // [n.] to be rude
御苦労	ごくろう	[adjn..; interj.; n.; sonkeigo] trouble (I have put you through)
御苦労様	ごくろうさま	[phrase; adjn..] thank you very much for your ...; I appreciate your efforts
僕	やつこ,つぶね,やつこらま	[n.; us. kana] servant; manservant; menial // [pron.; no-n.; male] I; me // [n.] you // [n.] manservant // [pron.; no-n.; arch.; kenjougo] I; me // [n.; arch.] slave // [n.] retainer; servant // [n.] captive // [der.] varlet // [kenjougo] I; me
迎え	むかえ	[n.] meeting; greeting; welcome
迎える	むかえる	[v1.; vt.] to go out to meet // [n.] to receive; to welcome; to greet; to salute; to hail; to reach; to approach; to enter (a phase, era, etc.) // [n.] to accept (e.g. as a member of a group or family) // [n.] to call for; to summon; to invite // [n.] to approach (a certain time, a point in one's life, etc.)
お風呂	おふろ	[n.] bath
予約	よやく	[n.; suru; no-n.] reservation; appointment; booking; advance order // [n.] contract; subscription; pledge
説明	せつめい	[n.; suru; no-n.] explanation; exposition
規則	きそく	[n.] rules; regulations; conventions
別	わけ	[no-n.; adjn..; n.; sufn.; prefn.] distinction; difference; different; another; particular; separate; extra; exception // [n.; arch.] lord (hereditary title for imperial descendants in outlying regions)
別々	べつべつ	[adjn..; n.; no-n.] separately; individually
職員室	しょくいんしつ	[n.] staff room
選ぶ	えらぶ	[v5bu.; vt.] to choose; to select
決める	きめる	[v1.; vt.] to decide; to choose; to determine; to make up one's mind; to resolve; to set one's heart on; to settle; to arrange; to set; to appoint; to fix // [n.] to clinch (a victory); to decide (the outcome of a match) // [n.] to persist in doing; to go through with // [n.] to always do; to have made a habit of // [n.] to take for granted; to assume // [n.] to dress up; to dress to kill; to dress to the nines // [n.] to carry out successfully (a move in sports, a pose in dance, etc.); to succeed in doing // [n.] to immobilize with a double-arm lock (in sumo, judo, etc.) // [n.] to eat or drink something; to take illegal drugs
門限	もんげん	[n.] closing time; lockup; curfew
探す	さがす	[v5su.; vt.] to search (for something desired, needed); to look for // [n.] to search (for something lost); to seek (a suspect in a crime)
残念	ざんねん	[adjn..; n.] deplorable; bad luck; regret; disappointment
転勤	てんきん	[n.; suru] job transfer; job relocation; intra-company transfer
見つける	みつける,みっける	[v1.; vt.] to discover; to find (e.g. an error in a book); to come across; to detect; to spot // [n.] to locate; to find (e.g. something missing); to find fault // [n.] to be used to seeing; to be familiar with
行う	おこなう	[v5u.; vt.] to perform; to do; to conduct oneself; to carry out
赤ちゃん	あかちゃん	[n.] baby; infant
どうやら		[adv.] it seems like; it appears that // [n.] somehow or other
思える	おもえる	[v1.] to seem; to appear likely
持てる	もてる	[v1.; vi.] to be able to possess (hold, get, etc.) // [n.] to be well liked; to be popular; to be pampered (spoiled, doted upon, etc.); to be welcomed // [n.] to endure (the tests of time, the elements, etc.); to last // [pren.] possessed // [n.] possessing riches; having wealth
